<シャトル乗務員>\t当機はただいまポイーン星ポインドラ宇宙港に到着いたしました。 	a1,ポイーン（ポインドラ）
<シャトル乗務員>\t当機はただいまポイーン星ポンジャバ宇宙港に到着いたしました。 	a2,ポイーン（ポンジャバ）
[INFO]\t[ポルドゲート]を使用した！                    	a3,ポイーン（ゲート）
[INFO]\t[ポルドジャンプ]を使用した！                   	a4,ポイーン（ジャンプ）
<シャトル乗務員>\t当機はただいまゲルニア星ソロネッツ宇宙港に到着いたしました。 	b1,ゲルニア（ソロネッツ）
<シャトル乗務員>\t当機はただいまゲルニア星アクリル宇宙港に到着いたしました。  	b2,ゲルニア（アクリル）
[INFO]\t[ソロネッツゲート]を使用した！                  	b3,ゲルニア（ゲート）
[INFO]\t[ソロネッツジャンプ]を使用した！                 	b4,ゲルニア（ジャンプ）
<シャトル乗務員>\t当機はただいまガルド星クロゴケ宇宙港に到着いたしました。   	c1,ガルド（クロゴケ）
[INFO]\t[クロゴケゲート]を使用した！                   	c3,ガルド（ゲート）
[INFO]\t[クロゴケジャンプ]を使用した！                  	c4,ガルド（ジャンプ）
<シャトル乗務員>\t当機はただいまデゴ星ルボノス宇宙港に到着いたしました。    	d1,デゴ（ルボノス）
[INFO]\t[ルボノスゲート]を使用した！                   	d3,デゴ（ゲート）
[INFO]\t[ルボノスジャンプ]を使用した！                  	d4,デゴ（ジャンプ）
<シャトル乗務員>\t当機はただいまベネブ星ヤースル宇宙港に到着いたしました。   	e1,ベネブ（ヤースル）
[INFO]\t[ノカルブゲート]を使用した！                   	e3,ベネブ（ゲート）
[INFO]\t[ノカルブジャンプ]を使用した！                  	e4,ベネブ（ジャンプ）
<シャトル乗務員>\t当機はただいまダスド星ターリア宇宙港に到着いたしました。   	f1,ダスド（ターリア）
[INFO]\t[アープルゲート]を使用した！                   	f3,ダスド（ゲート）
[INFO]\t[アープルジャンプ]を使用した！                  	f4,ダスド（ジャンプ）
<シャトル乗務員>\t当機はただいまガスター星タイラン宇宙港に到着いたしました。  	g1,ガスター（タイラン）
[INFO]\t[スーラオゲート]を使用した！                   	g3,ガスター（ゲート）
[INFO]\t[スーラオジャンプ]を使用した！                  	g4,ガスター（ジャンプ）
[INFO]\t[インドラジャンプ]を使用した！\　                	g5,ガスター（インドラ）
<シャトル乗務員>\t当機はただいまゴッドウェイ星アクネス宇宙港に到着いたしました。	j1,ゴッドウェイ（アクネス）
[INFO]\t[アクネスゲート]を使用した！                   	j3,ゴッドウェイ（ゲート）
[INFO]\t[アクネスジャンプ]を使用した！                  	j4,ゴッドウェイ（ジャンプ）
<シャトル乗務員>\t当機はただいま.惑星バルチャーに到着いたしました。      	k1,バルチャー
<シャトル乗務員>\t当機はただいま.惑星バルチャーの空域に到着いたしました。   	k1,バルチャー
[INFO]\t[バルチャージャンプ]を使用した！                 	k2,バルチャー（ジャンプ）
<シャトル乗務員>\t当機はただいま暗黒小惑星シャーオックに到着いたしました。   	l1,シャーオック
<シャトル乗務員>\t当機はただいま暗黒小惑星シャーオックの空域に到着いたしました。	l1,シャーオック
[INFO]\t[シャーオックジャンプ]を使用した！                	l2,シャーオック（ジャンプ）
<シャトル乗務員>\t当機はただいま資源惑星プーシャの空域に到着いたしました。   	m1,プーシャ
[INFO]\t[プーシャジャンプ]を使用した！                  	m2,プーシャ（ジャンプ）
[INFO]\t[ギガスゲート★1]を使用した！                  	n3,ギガス★１（ゲート）
[INFO]\t[ギガスジャンプ★1]を使用した！                 	n4,ギガス★１（ジャンプ）
[INFO]\t[ギガスゲート★2]を使用した！                  	o3,ギガス★２（ゲート）
[INFO]\t[ギガスジャンプ★2]を使用した！                 	o4,ギガス★２（ジャンプ）
<シャトル乗務員>\t当機はただいま惑星アルモスに到着いたしました。        	p1,アルモス
[INFO]\t[アルモスジャンプ]を使用した！                  	p2,アルモス（ジャンプ）
<シャトル乗務員>\t当機はただいま惑星アルモスSPの空域に到着いたしました。   	q1,アルモスSP
[INFO]\t[アルモスSPジャンプ]を使用した！                	q2,アルモスSP（ジャンプ）